Target_genes	Ebf1|Average	SRX018714|38B9	SRX587732|3T3-L1	SRX120206|B_cells	SRX120207|B_cells	SRX120424|B_cells	SRX14998422|Embryonic_liver	SRX14998423|Embryonic_liver	SRX7807060|Embryonic_liver	SRX7807062|Embryonic_liver	SRX9204114|Embryonic_liver	SRX9204116|Embryonic_liver	SRX6755615|ES_cells	SRX392756|HAFTL	SRX392757|HAFTL	SRX392758|HAFTL	SRX392759|HAFTL	SRX392760|HAFTL	SRX7821130|Hematopoietic_progenitors	SRX7821131|Hematopoietic_progenitors	SRX7821132|Hematopoietic_progenitors	SRX9204112|Leukemic_cell	SRX9204113|Leukemic_cell	SRX2162539|Pre-B_cells	SRX2162540|Pre-B_cells	SRX9350559|Pre-B_cells	SRX9350560|Pre-B_cells	SRX021878|Pro-B_cells	SRX1038471|Pro-B_cells	SRX1038472|Pro-B_cells	SRX1038473|Pro-B_cells	SRX1038474|Pro-B_cells	SRX120204|Pro-B_cells	SRX120205|Pro-B_cells	SRX14935391|Pro-B_cells	SRX14935393|Pro-B_cells	SRX19713228|Pro-B_cells	SRX19713229|Pro-B_cells	SRX2136459|Pro-B_cells	SRX2136460|Pro-B_cells	SRX2136461|Pro-B_cells	SRX2136462|Pro-B_cells	SRX3413799|Pro-B_cells	SRX3413800|Pro-B_cells	SRX3413801|Pro-B_cells	SRX3413802|Pro-B_cells	SRX3413803|Pro-B_cells	SRX3413820|Pro-B_cells	SRX3413821|Pro-B_cells	SRX9204115|Pro-B_cells	SRX9204117|Pro-B_cells	STRING
Pet117	1600.380000	359	0	0	0	0	1963	2435	2913	2693	2733	2851	0	1738	1120	182	394	0	2276	2138	1834	1569	2255	1766	2553	1417	1827	89	1471	1309	2366	943	364	342	631	0	2557	2514	1747	1168	194	0	2754	3317	3104	3306	3128	2736	2977	2839	3147	0
Kat14	1600.380000	359	0	0	0	0	1963	2435	2913	2693	2733	2851	0	1738	1120	182	394	0	2276	2138	1834	1569	2255	1766	2553	1417	1827	89	1471	1309	2366	943	364	342	631	0	2557	2514	1747	1168	194	0	2754	3317	3104	3306	3128	2736	2977	2839	3147	0
Rtca	1491.360000	674	1113	162	0	1450	1371	2619	1275	1998	3166	2577	0	814	783	0	903	0	2637	2660	2403	3892	3212	3069	3017	958	632	0	1660	1502	2208	1657	564	320	211	444	1537	1060	887	785	0	0	1635	1813	2164	2097	1977	2280	2601	2611	3170	0
Dbt	1491.360000	674	1113	162	0	1450	1371	2619	1275	1998	3166	2577	0	814	783	0	903	0	2637	2660	2403	3892	3212	3069	3017	958	632	0	1660	1502	2208	1657	564	320	211	444	1537	1060	887	785	0	0	1635	1813	2164	2097	1977	2280	2601	2611	3170	0
Mphosph8	1373.400000	747	0	119	0	1420	1162	2486	1351	1741	3054	2379	0	755	904	0	758	0	2559	2652	2203	3714	3129	2779	2694	1256	960	0	1333	1179	1527	1304	454	343	210	313	1643	780	807	908	0	0	1617	1755	1999	1938	1682	2153	2633	2278	2992	0
Trim25	1364.140000	680	0	292	0	1634	1459	2496	1361	1718	3229	2405	0	791	454	0	710	0	2415	2693	2072	3773	3457	2923	2999	846	524	0	1469	1037	1398	909	872	499	243	0	1514	644	870	454	0	0	1530	1767	2113	1961	1694	2083	2371	2605	3243	0
Septin2	1339.440000	646	1234	135	0	1462	1325	2746	1369	1969	2892	2216	0	996	576	0	617	0	2364	2489	1622	3749	2557	2294	2200	1007	809	0	1331	1046	1512	1041	665	408	412	403	1479	902	1034	574	0	0	1543	1586	1970	2103	1894	2013	2334	2241	3207	0
Hdlbp	1339.440000	646	1234	135	0	1462	1325	2746	1369	1969	2892	2216	0	996	576	0	617	0	2364	2489	1622	3749	2557	2294	2200	1007	809	0	1331	1046	1512	1041	665	408	412	403	1479	902	1034	574	0	0	1543	1586	1970	2103	1894	2013	2334	2241	3207	0
Sh2b3	1291.300000	552	241	0	0	1597	1538	2688	1677	1438	2272	1569	0	970	444	72	525	0	2644	2932	2432	2943	2920	2432	1883	1105	1131	0	1231	1055	1659	639	529	456	565	0	1509	648	1032	444	72	0	1513	1501	2129	2077	1880	1985	2410	2334	2892	0
Ccdc184	1255.040000	934	0	0	0	154	1957	2900	1315	1212	2602	1712	0	1103	928	0	506	0	2391	2306	2474	2979	2859	1898	1902	576	498	0	1267	1103	1558	792	752	713	243	0	1029	683	1132	927	0	0	1691	2083	2052	2282	1986	2402	2460	1590	2801	0
