Target_genes	Irf1|Average	SRX15048388|AT-3	SRX15048389|AT-3	SRX15048390|AT-3	SRX15048394|AT-3	SRX2522392|AT-3	SRX2522393|AT-3	SRX2522394|AT-3	SRX2522395|AT-3	SRX122406|Dendritic_Cells	SRX122407|Dendritic_Cells	SRX122408|Dendritic_Cells	SRX122409|Dendritic_Cells	SRX1583883|Macrophages	SRX1583884|Macrophages	SRX1583885|Macrophages	SRX2417354|Macrophages	SRX2417355|Macrophages	SRX2417356|Macrophages	SRX2991442|Macrophages	SRX2991443|Macrophages	SRX2991444|Macrophages	SRX2991445|Macrophages	SRX805965|Macrophages	SRX805966|Macrophages	SRX805967|Macrophages	SRX7270469|NMuMG	SRX7270470|NMuMG	SRX7270471|NMuMG	SRX7270472|NMuMG	SRX885792|Small_intestine	SRX885793|Small_intestine	SRX885798|Small_intestine	SRX885799|Small_intestine	STRING
Ctso	1416.121212	300	318	0	2566	322	214	1645	1493	0	858	0	320	677	813	2990	167	2526	1862	1261	1127	1896	1386	2164	3681	3697	2209	2377	3325	3244	1367	1001	339	587	0
Erap1	1391.272727	206	295	0	2225	150	109	1659	1763	0	957	113	385	934	1044	3245	213	2714	2204	1122	1084	1889	1540	2330	3407	3689	1441	1883	2989	2940	1361	947	483	591	0
Cldn34d	1342.0	619	315	419	207	1314	1046	1452	1761	354	235	543	337	2443	2503	2559	1944	1365	1464	1555	1224	1560	1262	1478	922	995	2764	2664	2621	2680	1290	900	612	879	0
Rab5c	1293.333333	0	127	0	172	156	0	1535	1514	0	686	0	279	986	1217	3161	374	2271	1677	911	783	1796	1261	3302	4447	4358	1923	1916	2870	2639	1005	658	300	356	0
Tap2	1291.272727	218	426	0	2955	305	206	1655	1661	0	578	0	153	814	1099	2783	220	2122	1772	1112	1122	1836	1651	2212	3656	3832	1295	1392	2824	2344	867	802	268	432	0
Parp10	1273.69697	0	0	0	0	190	134	1066	1186	93	592	0	222	895	1409	3186	228	1877	1531	1010	763	1354	1208	2953	3706	3736	2594	2412	3465	3391	1290	921	222	398	0
Grina	1273.69697	0	0	0	0	190	134	1066	1186	93	592	0	222	895	1409	3186	228	1877	1531	1010	763	1354	1208	2953	3706	3736	2594	2412	3465	3391	1290	921	222	398	0
Tnp2	1272.848485	0	162	0	1623	185	126	1198	1116	0	417	0	0	1052	1392	2887	299	2187	1558	1360	1028	1770	1572	2440	3007	3154	2056	2101	3321	2883	1218	985	344	563	0
Socs1	1272.848485	0	162	0	1623	185	126	1198	1116	0	417	0	0	1052	1392	2887	299	2187	1558	1360	1028	1770	1572	2440	3007	3154	2056	2101	3321	2883	1218	985	344	563	0
Tuba3b	1212.212121	131	0	0	0	222	121	1485	1295	0	488	0	0	711	1017	2884	171	1770	1342	992	712	1520	1031	2989	4353	4295	2185	2344	3270	3051	801	495	166	162	0
