Target_genes	Hif1a|Average	SRX13832293|BEko	SRX13832294|BEko	SRX13832299|BEko	SRX13832300|BEko	SRX9718436|B_cells	SRX21404931|CD4+_T_cells	SRX21404933|CD4+_T_cells	SRX21404935|CD4+_T_cells	SRX21404937|CD4+_T_cells	SRX21404939|CD4+_T_cells	SRX21404941|CD4+_T_cells	SRX122402|Dendritic_Cells	SRX122403|Dendritic_Cells	SRX122404|Dendritic_Cells	SRX122405|Dendritic_Cells	SRX698168|Embryonic_heart	SRX698169|Embryonic_heart	SRX7541943|EpiSC	SRX7541944|EpiSC	SRX8844230|EpiSC	SRX8844231|EpiSC	SRX13945543|ES_cells	SRX13945544|ES_cells	SRX13945545|ES_cells	SRX13945546|ES_cells	SRX13945547|ES_cells	SRX13945548|ES_cells	SRX2146745|Melanocytes	SRX2146746|Melanocytes	SRX23691463|Periosteum	SRX3331740|Prefrontal_Cortex	SRX3331741|Prefrontal_Cortex	SRX3331742|Prefrontal_Cortex	SRX3331743|Prefrontal_Cortex	SRX13253003|Prostate_carcinoma	SRX187224|Th17_Cells	SRX187225|Th17_Cells	STRING
Cldn34d	1341.351351	2485	2346	2101	2116	0	1772	1184	683	1134	1522	1450	291	221	429	451	1084	1177	800	1181	1798	1811	1978	2413	2796	2132	2229	2110	2136	1944	1064	544	649	468	439	490	1061	1141	0
Tcstv3	1200.594595	1145	940	1235	669	0	707	520	616	484	714	688	823	697	830	758	1275	1453	1263	2103	1594	1667	1696	1869	1789	1817	1964	1834	2195	2282	431	904	1004	1052	948	444	1992	2020	0
Narf	1082.324324	304	545	0	0	0	702	655	227	531	649	1098	275	135	103	180	942	1040	0	1193	0	419	3473	3244	3806	3871	4126	3586	1785	1145	0	161	106	222	437	1203	1811	2072	0
Ankrd37	984.351351	941	994	189	0	0	695	852	274	639	732	946	229	158	0	173	888	1041	0	1718	0	308	2593	2447	3724	3084	3896	2774	968	793	0	145	76	96	368	899	1757	2024	0
Brox	971.135135	1537	1439	1502	1456	0	349	315	439	411	489	972	255	149	242	267	833	812	639	1351	1050	981	1599	1495	1761	1181	1686	1698	2135	1948	1191	340	459	450	269	2259	946	1027	0
Aida	971.135135	1537	1439	1502	1456	0	349	315	439	411	489	972	255	149	242	267	833	812	639	1351	1050	981	1599	1495	1761	1181	1686	1698	2135	1948	1191	340	459	450	269	2259	946	1027	0
Pgam1	950.621622	1014	1158	0	256	0	779	705	497	867	999	1486	68	0	0	0	831	1018	0	2018	0	313	2684	1628	3574	3167	2908	2796	1021	923	0	0	0	0	0	763	1633	2067	0
Eno1	853.000000	748	881	0	0	0	278	324	219	276	359	841	120	68	0	105	943	999	0	1377	0	174	2599	2358	3017	2879	3307	2558	1214	880	0	0	0	113	186	1347	1651	1740	0
Kdm3a	826.459459	628	621	0	0	0	747	472	548	603	740	1154	131	169	0	211	679	798	0	620	0	56	2309	1690	3485	2841	3152	2661	1219	662	0	0	0	0	0	1092	1474	1817	0
Slc16a3	792.756757	180	0	0	0	0	519	547	0	575	878	1333	86	115	0	148	893	970	0	656	0	0	2368	1738	3500	3027	3048	2625	1508	985	0	0	0	0	0	0	1667	1966	0
P4ha1	785.702703	603	948	0	0	0	308	259	0	265	352	715	0	92	0	89	727	909	0	1189	0	149	2336	1349	3821	2810	2801	2852	1183	818	0	0	0	0	71	515	1741	2169	0
Pnrc1	728.891892	231	290	0	0	0	175	146	0	219	233	474	79	0	0	280	962	1005	0	677	0	137	2036	1418	3788	2041	3550	2361	1067	752	0	0	0	0	184	989	1813	2062	0
Gpi1	681.189189	762	1027	0	0	0	640	579	130	734	814	1417	91	0	0	0	553	731	0	1967	0	205	1571	549	2561	1991	1904	1810	765	479	0	0	0	0	0	536	1485	1903	0
Pdk1	676.756757	907	973	324	0	0	177	138	0	167	264	399	0	0	0	0	877	1042	0	2191	0	225	1443	885	2948	1670	1873	1909	949	833	0	0	0	0	0	1267	1553	2026	0
Ldha	636.972973	347	387	0	0	0	259	154	0	268	353	773	0	0	0	0	463	786	0	1530	0	249	1885	875	3383	2408	2143	2230	712	573	0	0	0	0	0	686	1319	1785	0
