Target_genes	Sp7|Average	SRX18740507|Oligodendrocytes	SRX1702412|Osteoblasts	STRING
Cldn34d	1351.5	1020	1683	0
Brox	926.0	756	1096	0
Aida	926.0	756	1096	0
Kpna1	609.5	0	1219	0
Il31ra	559.0	153	965	0
Oasl1	346.0	0	692	0
Sspn	327.0	254	400	0
Tmem125	260.5	388	133	0
Asmt	233.5	199	268	0
Kifc3	220.5	0	441	0
Nelfa	206.5	413	0	0
Vmn2r102	206.0	0	412	0
Cdh12	183.5	0	367	0
Hjurp	173.0	346	0	0
A730008H23Rik	173.0	346	0	0
Hspa14	172.0	344	0	0
Cdnf	172.0	344	0	0
Zfp574	171.5	343	0	0
Grik5	171.5	343	0	0
Golph3l	166.0	332	0	0
Shb	157.5	0	315	0
Atp5g1	153.0	306	0	0
Ankar	150.5	0	301	0
Dctpp1	148.0	296	0	0
Prcc	147.5	295	0	0
Zcchc17	145.5	184	107	0
Pin1	144.5	289	0	0
Rpp38	137.5	0	275	0
Acbd7	137.5	0	275	0
Dhx8	133.5	267	0	0
Mvk	130.0	260	0	0
Mmab	130.0	260	0	0
Nlrp10	129.5	259	0	0
Eif3f	129.5	259	0	0
Ggct	129.0	258	0	0
Asphd2	129.0	0	258	0
9430015G10Rik	129.0	258	0	0
Sel1l	127.0	254	0	0
Pnpla7	127.0	254	0	0
Mrpl41	127.0	254	0	0
Zswim4	126.5	253	0	0
Cstf2t	126.5	253	0	0
Creb3l2	126.0	252	0	0
Rps29	125.5	251	0	0
Ppwd1	125.5	251	0	0
Cenpk	125.5	251	0	0
Stat3	123.0	246	0	0
Fnbp1	123.0	0	246	0
Ddx24	123.0	246	0	0
Vcp	122.5	245	0	0
Eprs	122.5	0	245	0
Chd2	121.5	243	0	0
Cdk5rap2	120.0	240	0	0
Sh3glb2	117.5	235	0	0
Miga2	117.5	235	0	0
Dars2	117.0	234	0	0
Wdpcp	116.0	232	0	0
Ube2f	116.0	232	0	0
Tmem218	116.0	232	0	0
Rbm27	116.0	232	0	0
Mdh1	116.0	232	0	0
Gadd45a	116.0	232	0	0
Copz1	114.0	228	0	0
Cenpu	114.0	228	0	0
Plb1	113.5	0	227	0
Txn2	113.0	226	0	0
Herpud1	112.5	225	0	0
Psmd8	111.5	223	0	0
Chst5	111.5	223	0	0
Usp2	111.0	222	0	0
Trim45	111.0	222	0	0
Smim38	111.0	222	0	0
Mxd4	110.5	221	0	0
Vps37b	109.0	101	117	0
Ubiad1	109.0	218	0	0
Mtor	109.0	218	0	0
Zbtb5	108.0	216	0	0
Tomm40l	108.0	216	0	0
Tcea1	108.0	216	0	0
Cep152	108.0	216	0	0
Apoa2	108.0	216	0	0
Ap2s1	107.5	215	0	0
Etv5	107.0	214	0	0
Ccnt1	107.0	214	0	0
4930415O20Rik	107.0	214	0	0
Pitx3	106.5	213	0	0
Gbf1	106.5	213	0	0
Katnb1	105.5	211	0	0
Zfp622	105.0	210	0	0
Ptpn3	104.5	0	209	0
Ubl3	104.0	208	0	0
Ghitm	104.0	208	0	0
Cops4	104.0	208	0	0
Ankrd54	104.0	208	0	0
Rrp9	103.5	207	0	0
Parp3	103.5	207	0	0
Elavl2	103.0	206	0	0
Arrdc4	102.5	205	0	0
Spata2	102.0	204	0	0
Rnf114	102.0	204	0	0
Slc25a10	101.5	0	203	0
Sfpq	101.5	203	0	0
Pcbp2	101.0	202	0	0
Fam219a	100.5	201	0	0
Dnaic1	100.5	201	0	0
Lrch4	100.0	200	0	0
Fbxo24	100.0	200	0	0
Zfp276	99.5	199	0	0
Vps9d1	99.5	199	0	0
Rangap1	99.5	199	0	0
Peli1	99.5	199	0	0
Rpgrip1l	99.0	198	0	0
Fto	99.0	198	0	0
Prmt5	98.5	197	0	0
Dglucy	98.0	196	0	0
Ppp2r1a	97.5	195	0	0
Limch1	97.5	195	0	0
Entpd7	97.5	195	0	0
Canx	97.5	195	0	0
Abcf2	97.5	195	0	0
Tesk2	97.0	194	0	0
Stip1	97.0	194	0	0
Srgap2	97.0	194	0	0
Fam72a	97.0	194	0	0
Sap130	96.5	193	0	0
Asb7	96.5	193	0	0
Rbm39	96.0	192	0	0
Glrx5	96.0	192	0	0
Stk11	95.5	191	0	0
Nfatc2ip	95.5	191	0	0
Fbxw7	95.5	191	0	0
Trim50	95.0	0	190	0
Tnfaip1	95.0	190	0	0
Speer4e	95.0	0	190	0
Ift20	95.0	190	0	0
Abhd12	95.0	0	190	0
Zfyve21	94.5	189	0	0
Xrcc3	94.5	189	0	0
Tusc3	94.5	0	189	0
Psmd3	94.5	189	0	0
Elovl6	94.5	189	0	0
E2f3	94.0	188	0	0
Dnajc16	94.0	188	0	0
Clec11a	94.0	98	90	0
Casp9	94.0	188	0	0
Wbp11	93.5	187	0	0
Pnkd	93.5	187	0	0
Noct	93.5	0	187	0
Moxd1	93.5	187	0	0
BC049715	93.5	187	0	0
Asph	93.5	187	0	0
Arhgef1	93.5	187	0	0
Aamp	93.5	187	0	0
Mterf1a	93.0	186	0	0
Hk2	93.0	186	0	0
