symbol	gene_id	transcript_id	length
Alyref2	ENSMUSG00000060244	ENSMUST00000081527	1273
Rrs1	ENSMUSG00000061024	ENSMUST00000072079	2048
Degs1	ENSMUSG00000038633	ENSMUST00000035295	2048
Tnni1	ENSMUSG00000026418	ENSMUST00000154463	749
Tnni1	ENSMUSG00000026418	ENSMUST00000152208	1105
Tnni1	ENSMUSG00000026418	ENSMUST00000148201	1150
Tnni1	ENSMUSG00000026418	ENSMUST00000152075	1038
Eef1b2	ENSMUSG00000025967	ENSMUST00000129339	1939
Daw1	ENSMUSG00000053161	ENSMUST00000065403	1651
Pea15a	ENSMUSG00000013698	ENSMUST00000013842	2501
Itpkb	ENSMUSG00000038855	ENSMUST00000070181	6235
Shcbp1l	ENSMUSG00000042708	ENSMUST00000042373	2092
Gm21972	ENSMUSG00000094638	ENSMUST00000135197	776
Sdhc	ENSMUSG00000058076	ENSMUST00000111336	3171
Mfsd9	ENSMUSG00000041945	ENSMUST00000039672	3160
Spats2l	ENSMUSG00000038305	ENSMUST00000170139	2315
Spats2l	ENSMUSG00000038305	ENSMUST00000169772	2311
Gm29106	ENSMUSG00000102030	ENSMUST00000186264	4012
Olfr12	ENSMUSG00000061616	ENSMUST00000213247	4158
Olfr12	ENSMUSG00000061616	ENSMUST00000081274	1121
Ier5	ENSMUSG00000056708	ENSMUST00000055322	3276
Kcnb2	ENSMUSG00000092083	ENSMUST00000170146	14845
Kcnb2	ENSMUSG00000092083	ENSMUST00000175681	3963
Map2	ENSMUSG00000015222	ENSMUST00000239213	6259
Map2	ENSMUSG00000015222	ENSMUST00000114013	6258
Imp4	ENSMUSG00000026127	ENSMUST00000027303	5836
Gm29427	ENSMUSG00000101904	ENSMUST00000188520	1909
Pax3	ENSMUSG00000004872	ENSMUST00000004994	3078
Mpp4	ENSMUSG00000079550	ENSMUST00000114275	2982
Mpp4	ENSMUSG00000079550	ENSMUST00000078874	2345
Mpp4	ENSMUSG00000079550	ENSMUST00000066374	2344
Hnrnpu	ENSMUSG00000039630	ENSMUST00000037748	7640
Asb1	ENSMUSG00000026311	ENSMUST00000086843	2490
Ppp1r42	ENSMUSG00000025916	ENSMUST00000027049	1425
Xpr1	ENSMUSG00000026469	ENSMUST00000027741	7492
Zbtb18	ENSMUSG00000063659	ENSMUST00000077225	4944
Zbtb18	ENSMUSG00000063659	ENSMUST00000094276	4204
Zbtb18	ENSMUSG00000063659	ENSMUST00000195612	3790
Arfgef1	ENSMUSG00000067851	ENSMUST00000088615	6978
Aox3	ENSMUSG00000064294	ENSMUST00000040999	4606
Ankrd23	ENSMUSG00000067653	ENSMUST00000054665	1964
Fam78b	ENSMUSG00000060568	ENSMUST00000190081	4666
Fam78b	ENSMUSG00000060568	ENSMUST00000126198	2951
Fam78b	ENSMUSG00000060568	ENSMUST00000165874	4986
Atp2b4	ENSMUSG00000026463	ENSMUST00000165602	8101
Atp2b4	ENSMUSG00000026463	ENSMUST00000143567	11725
Vash2	ENSMUSG00000037568	ENSMUST00000047409	4032
Vash2	ENSMUSG00000037568	ENSMUST00000166139	3897
Serpinc1	ENSMUSG00000026715	ENSMUST00000064725	4970
Traf5	ENSMUSG00000026637	ENSMUST00000085573	1964
Nhlh1	ENSMUSG00000051251	ENSMUST00000059794	2464
Gm38100	ENSMUSG00000104158	ENSMUST00000194391	1329
Gm38100	ENSMUSG00000104158	ENSMUST00000201297	1789
1700025G04Rik	ENSMUSG00000032666	ENSMUST00000044581	9559
Sele	ENSMUSG00000026582	ENSMUST00000027874	2912
Ifi211	ENSMUSG00000026536	ENSMUST00000009340	1785
Rgs7	ENSMUSG00000026527	ENSMUST00000027812	1418
Rgs7	ENSMUSG00000026527	ENSMUST00000192227	2113
Rgs7	ENSMUSG00000026527	ENSMUST00000195324	2209
Tmem198	ENSMUSG00000051703	ENSMUST00000113575	2185
Tmem198	ENSMUSG00000051703	ENSMUST00000050899	2456
Tram1	ENSMUSG00000025935	ENSMUST00000027068	2938
Arhgef4	ENSMUSG00000118272	ENSMUST00000211073	171
Gal3st2c	ENSMUSG00000073608	ENSMUST00000097632	9667
Cpa6	ENSMUSG00000042501	ENSMUST00000035577	1932
Acadl	ENSMUSG00000026003	ENSMUST00000027153	1916
Ecel1	ENSMUSG00000026247	ENSMUST00000160810	2898
Ecel1	ENSMUSG00000026247	ENSMUST00000027463	2695
Ecel1	ENSMUSG00000026247	ENSMUST00000161002	3033
Farsb	ENSMUSG00000026245	ENSMUST00000068333	1951
Farsb	ENSMUSG00000026245	ENSMUST00000170217	2036
Casq1	ENSMUSG00000007122	ENSMUST00000003554	1847
Dock10	ENSMUSG00000038608	ENSMUST00000077946	7198
Dock10	ENSMUSG00000038608	ENSMUST00000190983	6672
Dock10	ENSMUSG00000038608	ENSMUST00000187774	6796
Ccdc181	ENSMUSG00000026578	ENSMUST00000027867	1909
Zap70	ENSMUSG00000026117	ENSMUST00000027291	2245
Cfap126	ENSMUSG00000026649	ENSMUST00000027959	1034
Cfap126	ENSMUSG00000026649	ENSMUST00000129651	766
Hspd1	ENSMUSG00000025980	ENSMUST00000027123	2423
A030014E15Rik	ENSMUSG00000113973	ENSMUST00000223400	796
Tor1aip1	ENSMUSG00000026466	ENSMUST00000097527	4234
Ctla4	ENSMUSG00000026011	ENSMUST00000027164	1933
Acmsd	ENSMUSG00000026348	ENSMUST00000038006	2717
Atp1a4	ENSMUSG00000007107	ENSMUST00000111243	3470
Fer1l5	ENSMUSG00000037432	ENSMUST00000179162	6315
Khdc1c	ENSMUSG00000041722	ENSMUST00000070223	1946
Gm4846	ENSMUSG00000086056	ENSMUST00000143922	1744
AC167036.1	ENSMUSG00000118590	ENSMUST00000239195	1120
Atf6	ENSMUSG00000026663	ENSMUST00000027974	7246
Dars2	ENSMUSG00000026709	ENSMUST00000035430	3619
Ackr1	ENSMUSG00000037872	ENSMUST00000038227	1153
Uxs1	ENSMUSG00000057363	ENSMUST00000126008	4620
BC035947	ENSMUSG00000090486	ENSMUST00000170511	3063
Hecw2	ENSMUSG00000042807	ENSMUST00000120904	11263
Hecw2	ENSMUSG00000042807	ENSMUST00000087659	11171
Rpl7	ENSMUSG00000043716	ENSMUST00000058437	1163
Tmem9	ENSMUSG00000026411	ENSMUST00000165125	901
Tmem9	ENSMUSG00000026411	ENSMUST00000063719	1806
Tmem9	ENSMUSG00000026411	ENSMUST00000117950	847
Klhl20	ENSMUSG00000026705	ENSMUST00000111611	4072
Xrcc5	ENSMUSG00000026187	ENSMUST00000027379	2549
Slc39a10	ENSMUSG00000025986	ENSMUST00000027131	5498
Cflar	ENSMUSG00000026031	ENSMUST00000114313	6572
Cflar	ENSMUSG00000026031	ENSMUST00000097722	1771
Cflar	ENSMUSG00000026031	ENSMUST00000069333	3163
Hsd17b7	ENSMUSG00000026675	ENSMUST00000027989	4612
Hsd17b7	ENSMUSG00000026675	ENSMUST00000111353	1446
Ifi208	ENSMUSG00000066677	ENSMUST00000085876	2990
Ifi208	ENSMUSG00000066677	ENSMUST00000169857	1767
Odr4	ENSMUSG00000006010	ENSMUST00000111913	3273
Cxcr4	ENSMUSG00000045382	ENSMUST00000052172	1805
Obsl1	ENSMUSG00000026211	ENSMUST00000113567	5679
Sgpp2	ENSMUSG00000032908	ENSMUST00000036172	4002
Mrps9	ENSMUSG00000060679	ENSMUST00000057208	1418
Nemp2	ENSMUSG00000043015	ENSMUST00000165859	3396
Cd55	ENSMUSG00000026399	ENSMUST00000027650	2533
2010300C02Rik	ENSMUSG00000026090	ENSMUST00000162875	4634
Espnl	ENSMUSG00000049515	ENSMUST00000088904	5445
Gm47955	ENSMUSG00000114011	ENSMUST00000223536	639
Tstd1	ENSMUSG00000103711	ENSMUST00000171362	551
Gm7145	ENSMUSG00000100617	ENSMUST00000185381	1794
Tgfb2	ENSMUSG00000039239	ENSMUST00000045288	5116
Dnah7c	ENSMUSG00000101337	ENSMUST00000189749	12207
Ugt1a6a	ENSMUSG00000054545	ENSMUST00000113134	2297
Ugt1a6a	ENSMUSG00000054545	ENSMUST00000014263	2265
Mrpl15	ENSMUSG00000033845	ENSMUST00000156816	4203
Nenf	ENSMUSG00000037499	ENSMUST00000046770	742
Ptprn	ENSMUSG00000026204	ENSMUST00000027404	3554
Ppox	ENSMUSG00000062729	ENSMUST00000073120	1821
Elf3	ENSMUSG00000003051	ENSMUST00000185752	1901
Fastkd2	ENSMUSG00000025962	ENSMUST00000027103	4486
Mybph	ENSMUSG00000042451	ENSMUST00000191577	2320
Mybph	ENSMUSG00000042451	ENSMUST00000038445	1828
Vamp4	ENSMUSG00000026696	ENSMUST00000155003	1428
Vamp4	ENSMUSG00000026696	ENSMUST00000150040	901
Vamp4	ENSMUSG00000026696	ENSMUST00000135241	1461
Rnpep	ENSMUSG00000041926	ENSMUST00000077340	2288
Dusp12	ENSMUSG00000026659	ENSMUST00000027970	1374
Dis3l2	ENSMUSG00000053333	ENSMUST00000168237	3154
Dis3l2	ENSMUSG00000053333	ENSMUST00000065694	3085
Tmem177	ENSMUSG00000036975	ENSMUST00000037906	3341
Tmem169	ENSMUSG00000026188	ENSMUST00000027380	2928
