Target_genes	Nfe2l2|Average	SRX1606411|C2C12	SRX1606412|C2C12	SRX21026467|Cerebral_Cortex	SRX21026468|Cerebral_Cortex	SRX21026469|Cerebral_Cortex	SRX21026470|Cerebral_Cortex	SRX21026476|Cerebral_Cortex	SRX21026477|Cerebral_Cortex	SRX21026478|Cerebral_Cortex	SRX21026479|Cerebral_Cortex	SRX188820|CH12	SRX5006896|Esophagus	SRX5006897|Esophagus	SRX5006898|Esophagus	SRX3630637|Liver	SRX3630638|Liver	DRX036572|Macrophages	DRX036573|Macrophages	DRX036574|Macrophages	DRX036575|Macrophages	DRX036576|Macrophages	DRX036577|Macrophages	SRX1438291|Macrophages	SRX1438293|Macrophages	SRX1438295|Macrophages	SRX1438297|Macrophages	SRX1438299|Macrophages	SRX1438301|Macrophages	SRX13081923|MEF	SRX13081924|MEF	SRX13081925|MEF	SRX13081926|MEF	SRX2191407|MEF	SRX2191408|MEF	SRX188811|MEL	SRX18863834|RAW_264.7	STRING
Cldn34d	1280.694444	2073	2383	1373	1517	1809	1273	1333	1017	863	999	1324	940	1000	918	757	254	1475	1526	1366	1598	1369	1398	2657	2781	2560	2088	2581	2303	0	0	0	0	389	387	1128	666	0
Brox	1208.027778	852	1077	1012	1008	1162	927	1846	1461	1156	1093	946	687	882	1130	250	0	1356	1251	1378	1356	1286	1477	2165	1676	1894	1070	1730	1391	1082	1442	1181	1202	148	132	1115	3668	0
Aida	1208.027778	852	1077	1012	1008	1162	927	1846	1461	1156	1093	946	687	882	1130	250	0	1356	1251	1378	1356	1286	1477	2165	1676	1894	1070	1730	1391	1082	1442	1181	1202	148	132	1115	3668	0
Ftl1	1063.027778	297	1622	2477	2357	1583	2406	1456	1853	2339	2359	723	0	0	855	1946	1286	383	822	502	1529	453	872	1495	930	869	230	589	353	865	1302	829	702	0	0	1686	299	0
Gclc	1007.027778	422	1557	2831	2415	1765	2460	2186	1873	3154	2331	530	61	0	740	2487	2145	175	435	480	1235	380	518	401	310	490	95	502	0	794	759	434	379	0	0	1601	308	458
Txnrd1	951.166667	513	1716	1592	2393	999	2069	1318	1818	2547	1678	526	70	0	1052	1664	1121	608	916	1008	1962	660	914	995	625	1328	329	899	120	324	440	239	0	0	0	1246	553	0
Txn1	840.888889	251	1106	1697	2471	931	2274	964	2008	2183	2212	706	64	0	1458	1534	1245	266	640	743	1377	613	577	288	272	612	303	481	0	495	517	366	373	0	0	1038	207	0
Srxn1	804.333333	257	900	1147	2585	611	2382	877	1953	2089	1912	0	0	0	1380	1296	1570	377	462	750	1583	423	425	1521	1017	971	324	904	338	0	0	0	0	0	0	654	248	401
Gstp2	777.361111	406	1813	2238	2643	1266	2521	1400	2308	2722	2617	0	0	0	1176	2014	1673	0	0	0	200	0	0	219	115	350	95	175	0	383	577	365	326	0	0	0	383	0
Ubc	776.138889	295	996	2070	1830	1477	1786	1241	1279	1799	1540	263	331	0	805	1307	1322	459	760	295	1039	374	765	426	218	614	190	398	132	783	759	630	828	0	0	766	164	0
