"mouse_symbol","human_symbol","sources","source_count","confidence_score","mapping_type"
"0610009O20Rik","KIAA0141","ensembl",1,"0.6","one_to_one"
"0610010B08Rik","ZNF442","ensembl",1,"0.6","one_to_one"
"0610010F05Rik","KIAA1841","homologene+ensembl",2,"1","one_to_one"
"0610010K14Rik","C17orf49","homologene+ensembl",2,"1","one_to_one"
"0610012G03Rik","NCBP2-AS2","ensembl",1,"0.6","one_to_one"
"0610030E20Rik","C2orf68","homologene+ensembl",2,"1","one_to_one"
"0610037L13Rik","C1orf123","ensembl",1,"0.6","one_to_one"
"0610040J01Rik","C4orf19","homologene+ensembl",2,"1","one_to_one"
"1110002E22Rik","C4orf54","homologene",1,"0.8","one_to_one"
"1110004E09Rik","C21orf59","ensembl",1,"0.6","one_to_one"
"1110004F10Rik","C11orf58","homologene+ensembl",2,"1","one_to_one"
"1110008F13Rik","C20orf24","ensembl",1,"0.6","one_to_many"
"1110008L16Rik","KIAA0391","homologene+ensembl",2,"1","one_to_one"
"1110008P14Rik","C9orf16","homologene+ensembl",2,"1","one_to_one"
"1110012L19Rik","CXorf40A","homologene+ensembl",2,"1","one_to_many"
"1110017D15Rik","C9orf24","homologene+ensembl",2,"1","one_to_one"
"1110032A03Rik","C11orf1","homologene+ensembl",2,"1","one_to_one"
"1110032F04Rik","C3orf80","homologene+ensembl",2,"1","one_to_one"
"1110034G24Rik","C20orf196","ensembl",1,"0.6","one_to_one"
"1110038F14Rik","C8orf33","homologene+ensembl",2,"1","one_to_one"
"1110051M20Rik","C11orf49","homologene+ensembl",2,"1","one_to_one"
"1110059E24Rik","C9orf85","homologene+ensembl",2,"1","one_to_one"
"1110059G10Rik","KIAA1143","homologene+ensembl",2,"1","one_to_one"
"1110065P20Rik","C1orf122","ensembl",1,"0.6","one_to_one"
"1190002N15Rik","C3orf58","ensembl",1,"0.6","one_to_one"
"1190005I06Rik","C16orf74","homologene+ensembl",2,"1","one_to_one"
"1190007I07Rik","C12orf73","homologene+ensembl",2,"1","one_to_one"
"1500009L16Rik","C12orf75","ensembl",1,"0.6","one_to_one"
"1500011K16Rik","SMIM37","ensembl",1,"0.6","one_to_one"
"1500015O10Rik","C2orf40","homologene+ensembl",2,"1","one_to_one"
"1600002K03Rik","C19orf24","homologene+ensembl",2,"1","one_to_one"
"1600012H06Rik","C6orf120","homologene+ensembl",2,"1","one_to_one"
"1600014C10Rik","C19orf12","homologene+ensembl",2,"1","one_to_one"
"1700001C02Rik","C2orf70","homologene+ensembl",2,"1","one_to_one"
"1700001C19Rik","GUCA1A","homologene",1,"0.8","one_to_one"
"1700001L19Rik","C5orf49","homologene+ensembl",2,"1","one_to_one"
"1700001O22Rik","C9orf50","homologene+ensembl",2,"1","one_to_one"
