ensembl_gene_id	external_gene_name	ensembl_transcript_id	transcript_biotype	transcript_length	transcript_tsl	is_canonical
ENSMUSG00000064336	mt-Tf	ENSMUST00000082387	Mt_tRNA	68	tslNA	False
ENSMUSG00000064337	mt-Rnr1	ENSMUST00000082388	Mt_rRNA	955	tslNA	False
ENSMUSG00000064338	mt-Tv	ENSMUST00000082389	Mt_tRNA	69	tslNA	False
ENSMUSG00000064339	mt-Rnr2	ENSMUST00000082390	Mt_rRNA	1582	tslNA	False
ENSMUSG00000064340	mt-Tl1	ENSMUST00000082391	Mt_tRNA	75	tslNA	False
ENSMUSG00000064341	mt-Nd1	ENSMUST00000082392	protein_coding	957	tslNA	False
ENSMUSG00000064342	mt-Ti	ENSMUST00000082393	Mt_tRNA	69	tslNA	False
ENSMUSG00000064343	mt-Tq	ENSMUST00000082394	Mt_tRNA	71	tslNA	False
ENSMUSG00000064344	mt-Tm	ENSMUST00000082395	Mt_tRNA	69	tslNA	False
ENSMUSG00000064345	mt-Nd2	ENSMUST00000082396	protein_coding	1038	tslNA	False
ENSMUSG00000064346	mt-Tw	ENSMUST00000082397	Mt_tRNA	67	tslNA	False
ENSMUSG00000064347	mt-Ta	ENSMUST00000082398	Mt_tRNA	69	tslNA	False
ENSMUSG00000064348	mt-Tn	ENSMUST00000082399	Mt_tRNA	71	tslNA	False
ENSMUSG00000064349	mt-Tc	ENSMUST00000082400	Mt_tRNA	66	tslNA	False
ENSMUSG00000064350	mt-Ty	ENSMUST00000082401	Mt_tRNA	67	tslNA	False
ENSMUSG00000064351	mt-Co1	ENSMUST00000082402	protein_coding	1545	tslNA	False
ENSMUSG00000064352	mt-Ts1	ENSMUST00000082403	Mt_tRNA	69	tslNA	False
ENSMUSG00000064353	mt-Td	ENSMUST00000082404	Mt_tRNA	70	tslNA	False
ENSMUSG00000064354	mt-Co2	ENSMUST00000082405	protein_coding	684	tslNA	False
ENSMUSG00000064355	mt-Tk	ENSMUST00000082406	Mt_tRNA	65	tslNA	False
ENSMUSG00000064356	mt-Atp8	ENSMUST00000082407	protein_coding	204	tslNA	False
ENSMUSG00000064357	mt-Atp6	ENSMUST00000082408	protein_coding	681	tslNA	False
ENSMUSG00000064358	mt-Co3	ENSMUST00000082409	protein_coding	784	tslNA	False
ENSMUSG00000064359	mt-Tg	ENSMUST00000082410	Mt_tRNA	68	tslNA	False
ENSMUSG00000064360	mt-Nd3	ENSMUST00000082411	protein_coding	348	tslNA	False
ENSMUSG00000064361	mt-Tr	ENSMUST00000082412	Mt_tRNA	68	tslNA	False
ENSMUSG00000065947	mt-Nd4l	ENSMUST00000084013	protein_coding	297	tslNA	False
ENSMUSG00000064363	mt-Nd4	ENSMUST00000082414	protein_coding	1378	tslNA	False
ENSMUSG00000064364	mt-Th	ENSMUST00000082415	Mt_tRNA	67	tslNA	False
ENSMUSG00000064365	mt-Ts2	ENSMUST00000082416	Mt_tRNA	59	tslNA	False
ENSMUSG00000064366	mt-Tl2	ENSMUST00000082417	Mt_tRNA	71	tslNA	False
ENSMUSG00000064367	mt-Nd5	ENSMUST00000082418	protein_coding	1824	tslNA	False
