Target_genes	Gfi1|Average	SRX093162|Bone_Marrow_Cells	SRX6799360|Embryoid_Bodies	SRX16700226|Granulocytic-monocytic_progenitors	SRX7821117|Hematopoietic_progenitors	SRX349376|ILC2	SRX1939441|Lymphoid-primed_multipotent_progenitors	SRX1072347|Macrophages	SRX7415996|Macrophages	SRX206425|Mast_Cells	SRX5131513|Medulloblastoma	SRX5131514|Medulloblastoma	SRX1035395|mESC_derived_haematopoietic_progenitor	SRX1096803|Naive_T_cells	SRX1096804|Naive_T_cells	SRX1973345|Neurospheres	SRX1973346|Neurospheres	STRING
Tcstv3	1249.312500	1250	2517	207	1991	2345	1924	1620	0	274	846	1064	1146	921	512	1526	1846	0
Cdc42bpb	944.500000	2063	533	0	2926	1901	2930	287	0	1964	1287	782	139	188	0	0	112	0
Cldn34d	939.437500	631	2151	0	1369	1877	1309	643	0	450	1136	2409	525	982	267	675	607	0
Alg14	935.375000	2303	391	0	2549	1741	2553	1817	0	1267	1009	878	187	0	0	0	271	0
Brox	797.187500	1172	1170	0	1503	1468	1477	615	0	337	707	1153	303	708	137	793	1212	0
Aida	797.187500	1172	1170	0	1503	1468	1477	615	0	337	707	1153	303	708	137	793	1212	0
Tmem125	781.187500	1027	308	0	698	927	639	752	0	154	2323	2392	113	639	139	606	1782	0
Psmb2	739.312500	2702	170	0	2034	938	2030	356	0	942	1100	976	113	238	0	0	230	0
Xpo1	691.437500	2108	388	0	1930	900	1933	755	0	1456	825	539	77	0	0	0	152	0
Itsn1	671.375000	1957	351	0	1633	975	1634	1281	0	600	1255	609	0	258	0	0	189	0
Cryzl1	671.375000	1957	351	0	1633	975	1634	1281	0	600	1255	609	0	258	0	0	189	0
Gpr84	646.750000	1692	453	0	1748	1192	1753	485	0	1592	709	393	206	0	0	0	125	0
Map3k3	645.187500	2185	268	0	1878	717	1880	0	0	1304	749	753	0	169	0	0	420	0
Sowahc	640.437500	2250	118	0	1982	845	1982	304	0	1060	899	390	0	208	0	0	209	0
Septin10	640.437500	2250	118	0	1982	845	1982	304	0	1060	899	390	0	208	0	0	209	0
Tigar	636.625000	1547	179	0	1852	1244	1850	506	0	1484	559	387	120	223	0	0	235	0
Spring1	623.937500	2157	162	0	1483	1215	1485	107	0	1188	1016	688	0	242	0	0	240	0
Rnft2	623.937500	2157	162	0	1483	1215	1485	107	0	1188	1016	688	0	242	0	0	240	0
Zfp532	620.375000	1913	0	0	2785	1390	2786	0	0	749	303	0	0	0	0	0	0	0
Rgmb	610.187500	2161	336	101	1500	1242	1500	231	0	689	887	480	107	378	0	0	151	0
Slc15a3	605.687500	1688	0	0	2890	1165	2894	627	0	337	0	0	0	0	0	0	90	0
Zdhhc7	605.125000	2274	322	0	1478	332	1477	981	0	551	1103	838	0	114	0	0	212	0
Tnfaip1	599.187500	2473	98	0	1890	807	1891	211	0	815	542	338	96	77	0	0	349	0
Ift20	599.187500	2473	98	0	1890	807	1891	211	0	815	542	338	96	77	0	0	349	0
Ppp2r3a	598.437500	2209	284	0	2042	583	2040	312	0	843	491	437	131	0	0	0	203	0
Dhx8	595.812500	2522	381	0	1789	741	1787	174	0	824	545	474	0	0	0	0	296	0
Aktip	595.500000	2375	233	0	2031	596	2029	0	0	818	521	353	148	95	0	0	329	0
Asmt	590.625000	963	460	0	1108	830	1094	513	0	157	899	927	529	411	0	806	753	0
Mpzl1	576.312500	2345	182	0	1499	662	1496	233	0	604	1170	520	93	107	0	0	310	0
Kpna1	566.625000	965	0	469	917	1048	931	540	0	277	411	0	468	670	341	1068	961	0
Il31ra	560.062500	1393	349	655	774	921	758	514	0	146	0	0	427	646	342	973	1063	0
Slc37a3	551.500000	1595	0	0	2923	0	2933	214	0	564	404	0	0	0	0	0	191	0
Ankrd40	512.500000	1989	451	89	1830	304	1840	0	0	665	401	218	196	0	0	0	217	0
Ttc21b	491.875000	589	246	0	2410	476	2406	0	0	703	466	231	0	0	0	0	343	0
Trim26	490.375000	2128	170	0	1367	167	1370	386	0	443	1039	443	0	107	0	0	226	0
Prkrip1	486.000000	518	0	0	2320	836	2323	324	0	135	451	349	0	118	0	0	402	0
Zfp658	483.687500	1178	0	162	2284	602	2284	86	0	768	164	0	0	0	0	0	211	0
Plekha1	480.937500	2333	164	0	1208	379	1212	0	0	894	785	334	0	116	0	0	270	0
Lgmn	477.687500	1236	155	0	2503	0	2499	0	0	242	532	330	0	0	0	0	146	0
Sspn	470.375000	1750	374	261	576	502	509	355	0	148	165	104	141	758	373	518	992	0
Asf1b	463.062500	2352	316	0	1092	553	1089	157	0	433	664	458	0	0	0	0	295	0
Gm2a	461.750000	2373	0	166	1115	272	1122	160	0	712	666	481	0	108	0	0	213	0
Zbtb21	454.750000	1832	163	207	927	202	927	141	0	664	1044	803	0	0	0	0	366	0
Scamp4	452.687500	2022	166	0	1416	390	1422	315	0	452	459	354	0	0	0	0	247	0
Adat3	452.687500	2022	166	0	1416	390	1422	315	0	452	459	354	0	0	0	0	247	0
Zfp383	428.937500	857	266	0	1670	905	1668	256	0	376	455	274	0	0	0	0	136	0
Zfp27	428.937500	857	266	0	1670	905	1668	256	0	376	455	274	0	0	0	0	136	0
H3c6	423.937500	1808	170	0	1287	215	1273	0	0	398	621	309	0	190	69	0	443	0
Sppl2a	412.750000	2104	0	0	1205	381	1189	181	0	199	554	286	0	174	0	0	331	0
Epn1	412.687500	954	0	0	2438	0	2438	0	0	0	307	143	0	121	0	0	202	0
Poc5	410.625000	2382	121	0	981	140	982	190	0	263	866	519	0	0	0	0	126	0
Ssbp1	401.625000	1664	131	0	911	206	911	345	0	190	1078	507	0	157	0	0	326	0
Tinf2	390.375000	2022	0	0	1052	0	1059	0	0	1268	363	161	0	0	0	0	321	0
Zfp386	383.625000	1784	0	0	755	205	754	300	0	111	1123	602	0	121	0	0	383	0
Gfi1b	379.187500	1189	0	0	2197	0	2200	215	0	266	0	0	0	0	0	0	0	0
Mrnip	377.000000	1117	971	0	965	177	958	300	0	206	414	721	73	0	0	0	130	0
Nav2	376.750000	446	0	0	2361	0	2364	341	0	91	255	0	0	0	0	0	170	0
Tmem109	372.812500	967	0	0	1857	233	1863	0	0	396	267	171	0	0	0	0	211	0
Insm1	371.312500	1157	0	0	1938	265	1940	0	0	462	179	0	0	0	0	0	0	0
Plekhh3	368.500000	528	109	0	1729	382	1729	0	0	1011	168	109	0	0	0	0	131	0
Ccr10	368.500000	528	109	0	1729	382	1729	0	0	1011	168	109	0	0	0	0	131	0
Pak1ip1	367.125000	1330	294	0	1020	225	1026	326	0	343	589	512	0	0	0	0	209	0
Sgpl1	364.375000	2042	0	0	884	0	885	125	0	508	868	316	0	0	0	0	202	0
Rara	362.375000	1182	0	0	1997	0	1997	0	0	242	180	0	0	0	0	0	200	0
Cntnap1	360.312500	528	109	0	1729	382	1729	0	0	1011	168	109	0	0	0	0	0	0
Tulp4	358.937500	1292	0	0	1826	0	1823	0	0	229	317	0	0	0	0	0	256	0
Ttc21a	358.062500	375	0	0	2003	437	2002	0	0	521	221	0	0	0	0	0	170	0
Gorasp1	358.062500	375	0	0	2003	437	2002	0	0	521	221	0	0	0	0	0	170	0
Gtpbp10	357.875000	2381	0	0	841	165	841	0	0	297	525	387	0	0	0	0	289	0
Rab5if	357.812500	2260	0	0	954	122	949	0	0	188	533	256	0	120	0	0	343	0
Arhgap35	357.000000	2087	0	0	842	0	842	0	0	191	840	387	0	141	0	0	382	0
