Target_genes	Maz|Average	SRX188821|CH12	SRX13440023|ES_cells	SRX13440024|ES_cells	SRX13440027|ES_cells	SRX13440028|ES_cells	SRX13440031|ES_cells	SRX13440032|ES_cells	SRX13476144|ES_cells	SRX13476145|ES_cells	SRX13476146|ES_cells	SRX13476150|ES_cells	SRX20088447|ES_cells	SRX20088448|ES_cells	SRX20088449|ES_cells	SRX20088450|ES_cells	SRX20088485|ES_cells	SRX20088486|ES_cells	SRX20088487|ES_cells	SRX20088488|ES_cells	SRX20088489|ES_cells	SRX20088490|ES_cells	SRX20088491|ES_cells	SRX20088492|ES_cells	SRX188810|MEL	SRX13440025|mESC_derived_neural_cells	SRX13440026|mESC_derived_neural_cells	SRX13440029|mESC_derived_neural_cells	SRX13440030|mESC_derived_neural_cells	SRX13440033|mESC_derived_neural_cells	SRX13476147|mESC_derived_neural_cells	SRX13476148|mESC_derived_neural_cells	SRX13476149|mESC_derived_neural_cells	SRX13476151|mESC_derived_neural_cells	SRX15939544|NIH/3T3	SRX15939566|NIH/3T3	STRING
Tcstv3	1244.485714	2049	1285	1379	1214	1347	2300	1078	0	0	0	2094	1506	993	1530	793	1409	2067	2264	2075	1251	1250	1245	1242	1568	1944	1291	1238	1142	2426	0	0	0	1879	869	829	0
Kmt2a	935.400000	817	299	314	1014	1717	1401	2002	0	0	0	1771	1973	517	1364	152	346	2243	671	2026	0	0	0	0	786	1563	302	1994	2080	1909	0	0	0	1945	1688	1845	0
Fam8a1	899.600000	2286	186	156	564	1568	835	1390	0	0	0	757	2254	581	2077	177	321	1184	735	1215	0	0	0	0	2232	1143	178	1952	2177	1182	0	0	0	876	2634	2826	0
Cldn34d	826.600000	1297	541	570	782	1074	935	1186	0	0	0	760	1279	1095	841	677	1043	1644	1182	1508	652	531	570	664	1079	942	552	1593	973	885	0	450	0	684	1536	1406	0
Ranbp6	668.000000	2232	100	0	410	953	673	830	0	0	0	329	688	0	393	0	240	1366	650	1780	0	0	0	0	1598	766	110	1896	2020	1140	0	0	0	1046	1989	2171	0
Kpna1	647.428571	867	1084	1070	762	927	868	1001	0	0	0	1001	686	163	414	495	1057	1061	716	994	629	767	568	468	1000	790	913	871	793	688	0	625	0	782	242	358	0
Brox	647.371429	847	431	449	986	1568	1131	1299	0	0	0	1450	494	214	191	134	712	1755	835	1653	396	396	309	463	998	676	333	1021	682	671	0	250	0	417	930	967	0
Aida	647.371429	847	431	449	986	1568	1131	1299	0	0	0	1450	494	214	191	134	712	1755	835	1653	396	396	309	463	998	676	333	1021	682	671	0	250	0	417	930	967	0
Sarnp	590.171429	1899	0	93	367	555	558	632	0	0	0	339	955	283	837	0	147	675	393	652	0	0	0	0	1867	578	0	1286	1885	757	0	0	0	797	2449	2652	0
Ormdl2	590.171429	1899	0	93	367	555	558	632	0	0	0	339	955	283	837	0	147	675	393	652	0	0	0	0	1867	578	0	1286	1885	757	0	0	0	797	2449	2652	0
Ajuba	578.600000	0	84	90	682	1279	951	1663	0	0	0	1010	1324	467	1321	92	428	1131	567	1190	0	0	0	0	99	333	0	983	1558	599	0	0	0	405	2008	1987	0
Fbxw7	554.885714	1611	65	145	365	633	308	704	0	0	0	315	896	267	847	0	217	575	279	733	0	0	0	0	1459	758	131	1549	1940	676	0	0	0	928	1928	2092	0
Phip	536.885714	595	82	180	372	780	768	994	0	0	0	948	1396	450	1263	90	109	1344	245	1480	0	0	0	0	410	774	164	1018	1462	973	0	0	0	1422	621	851	0
Il31ra	527.828571	663	651	611	654	805	834	885	0	0	0	800	559	0	231	381	1095	868	750	935	469	445	355	268	855	383	372	842	995	628	0	247	0	655	494	744	0
