Target_genes	Gata6|Average	SRX20580007|Brown_adipose_tissue	SRX16736232|Embryoid_Bodies	SRX16736233|Embryoid_Bodies	SRX6755626|ES_cells	SRX6755627|ES_cells	SRX6755635|ES_cells	SRX6755636|ES_cells	SRX738315|Keratinocytes	SRX738316|Keratinocytes	SRX5198497|Lung	SRX5198498|Lung	SRX547826|MEF	SRX547827|MEF	SRX1041624|XEN_cells	SRX1041626|XEN_cells	SRX16736236|XEN_cells	SRX16736237|XEN_cells	STRING
Tcstv3	1307.058824	1488	1624	1724	409	347	677	811	1455	1361	2458	2386	2190	2368	173	475	1313	961	0
Brox	1235.411765	2490	1708	1734	296	353	371	418	172	268	1495	1628	1973	1743	1588	2580	1210	975	0
Aida	1235.411765	2490	1708	1734	296	353	371	418	172	268	1495	1628	1973	1743	1588	2580	1210	975	0
Cldn34d	1196.705882	1200	1439	1656	511	464	694	777	248	380	1144	2048	2468	2816	603	2112	896	888	0
Tmem125	729.882353	1870	816	958	186	0	173	196	96	117	1676	1806	1219	583	713	790	605	604	0
Ttc32	465.705882	1582	836	933	0	0	0	0	205	157	0	0	510	370	0	0	2261	1063	0
Tarbp1	341.294118	0	735	512	0	0	0	0	560	864	0	0	1371	1340	0	161	259	0	0
Got1	339.352941	599	276	296	0	0	0	0	1158	1295	711	520	536	378	0	0	0	0	0
Kpna1	304.823529	0	0	0	751	687	992	1034	0	176	160	214	462	706	0	0	0	0	0
Lrig3	299.647059	0	1353	965	0	0	0	0	266	509	0	0	976	532	0	0	493	0	0
Sspn	259.000000	444	225	242	161	132	166	180	128	0	459	436	391	369	243	827	0	0	0
Cpa4	235.294118	0	0	0	0	0	0	0	1429	1505	504	424	0	138	0	0	0	0	0
Sorbs1	232.941176	0	0	0	0	0	0	0	0	0	2575	1385	0	0	0	0	0	0	0
Npc2	232.647059	550	155	150	0	0	0	0	857	773	483	252	338	225	0	0	172	0	0
Isca2	232.647059	550	155	150	0	0	0	0	857	773	483	252	338	225	0	0	172	0	0
Tcf3	229.411765	1938	248	231	0	0	0	0	756	727	0	0	0	0	0	0	0	0	0
Smim11	227.117647	178	177	170	0	0	0	0	1276	1300	170	0	336	0	0	0	254	0	0
Zbtb46	222.941176	0	0	0	0	0	0	0	0	170	2855	765	0	0	0	0	0	0	0
Il31ra	213.764706	0	0	0	347	308	326	417	125	103	182	279	488	761	0	298	0	0	0
Ctcf	209.000000	729	0	0	0	0	0	0	540	573	774	526	297	114	0	0	0	0	0
