Target_genes	Elf4|Average	SRX2242847|Macrophages	SRX2242848|Macrophages	SRX2242849|Macrophages	SRX2242850|Macrophages	STRING
Faap24	3695.000000	4252	1299	4578	4651	0
BC052040	3524.750000	3973	1587	4256	4283	0
Fam172a	3423.750000	4066	1554	4088	3987	0
Trip4	3181.250000	3688	983	4135	3919	0
Csnk1g1	3181.250000	3688	983	4135	3919	0
Slc39a9	3171.500000	3380	1191	4023	4092	0
Erh	3171.500000	3380	1191	4023	4092	0
Wdr89	3093.250000	3815	848	4165	3545	0
Pramel12	2986.500000	3369	976	3971	3630	0
Eif2s1	2929.500000	3747	1136	3679	3156	0
Atp6v1d	2929.500000	3747	1136	3679	3156	0
Xrcc4	2922.500000	3444	848	3901	3497	0
Tmem167	2922.500000	3444	848	3901	3497	0
Zfp317	2768.750000	3179	788	3744	3364	0
Elf2	2753.750000	3048	674	4098	3195	0
Rps19	2725.250000	3066	700	4063	3072	0
Lmbr1l	2709.250000	3532	806	3740	2759	0
Pin1	2688.000000	2860	392	4180	3320	0
Rnf181	2618.750000	3166	680	3423	3206	0
Meig1	2616.750000	3119	696	3450	3202	0
Dclre1c	2616.750000	3119	696	3450	3202	0
Riok2	2582.500000	3054	838	3678	2760	0
Tnrc6b	2580.250000	2927	479	3623	3292	0
Klhl18	2572.000000	2798	817	3615	3058	0
Kif9	2572.000000	2798	817	3615	3058	0
Ccdc61	2566.750000	2918	605	3563	3181	0
Isoc2b	2564.250000	2620	536	3817	3284	0
4833420G17Rik	2561.500000	3038	522	3536	3150	0
Prr13	2523.000000	3068	685	3532	2807	0
Ltn1	2498.000000	3066	590	3585	2751	0
Mib2	2495.250000	2424	726	3622	3209	0
Acbd5	2463.500000	2967	683	3511	2693	0
Rmnd1	2437.000000	2513	544	3566	3125	0
Armt1	2437.000000	2513	544	3566	3125	0
Stk11ip	2434.250000	2734	854	3500	2649	0
Slc38a10	2415.250000	3391	1112	3374	1784	0
Ap1g2	2413.750000	2677	627	3519	2832	0
Hjurp	2409.500000	3084	604	3514	2436	0
A730008H23Rik	2409.500000	3084	604	3514	2436	0
Zfp513	2407.500000	2772	832	3238	2788	0
Zfp87	2377.750000	2740	592	3318	2861	0
Vta1	2371.000000	3372	719	3342	2051	0
Cirbp	2369.500000	2899	725	3007	2847	0
Zfand3	2368.500000	2765	901	3111	2697	0
Pigf	2367.000000	2691	776	3314	2687	0
Cript	2367.000000	2691	776	3314	2687	0
Wwox	2364.250000	2549	575	3559	2774	0
Flad1	2364.250000	2460	674	3536	2787	0
Rbm42	2335.250000	2457	553	3553	2778	0
Miip	2325.250000	2677	523	3553	2548	0
Fv1	2325.250000	2677	523	3553	2548	0
BC031181	2322.500000	3351	1045	3082	1812	0
Eif2ak3	2322.250000	2527	399	3545	2818	0
Pex2	2316.000000	3910	1047	2400	1907	0
Rps26	2313.250000	1939	606	3648	3060	0
Sugct	2310.250000	2559	574	3430	2678	0
Mplkip	2310.250000	2559	574	3430	2678	0
Katnb1	2308.250000	2370	500	3395	2968	0
Atp6v1e1	2306.750000	2693	674	3344	2516	0
Chmp5	2296.500000	2517	875	3159	2635	0
Bag1	2296.500000	2517	875	3159	2635	0
Zfp51	2278.500000	2686	574	3430	2424	0
Gabpb2	2274.250000	2167	576	3171	3183	0
Vps33b	2271.750000	2787	675	2835	2790	0
Mon1b	2260.500000	2628	574	3308	2532	0
2310011J03Rik	2252.000000	2792	712	3045	2459	0
Ldah	2236.500000	2655	584	3165	2542	0
Cep63	2236.250000	3014	804	2807	2320	0
Anapc13	2236.250000	3014	804	2807	2320	0
Ubl5	2232.000000	2341	757	3021	2809	0
Glyctk	2232.000000	2215	584	3064	3065	0
Fbxl12	2232.000000	2341	757	3021	2809	0
Fyco1	2230.500000	2377	580	3098	2867	0
Lsg1	2229.750000	2071	557	3269	3022	0
Tedc1	2222.250000	3268	782	2842	1997	0
Crip1	2222.250000	3268	782	2842	1997	0
Spsb3	2204.750000	2551	474	3194	2600	0
Nubp2	2204.750000	2551	474	3194	2600	0
Use1	2190.250000	2361	579	3163	2658	0
Ocel1	2190.250000	2361	579	3163	2658	0
Tgds	2189.000000	2983	855	2845	2073	0
Gpr180	2189.000000	2983	855	2845	2073	0
Erich1	2180.750000	2644	582	3149	2348	0
Kif14	2165.750000	2975	478	3192	2018	0
Zfp668	2158.250000	2310	481	2981	2861	0
Zfp646	2158.250000	2310	481	2981	2861	0
Vps41	2153.000000	2855	719	2852	2186	0
Urm1	2146.500000	2236	720	3054	2576	0
Nlrp1a	2146.250000	2501	551	3020	2513	0
Xab2	2140.500000	2118	761	2889	2794	0
Pet100	2140.500000	2118	761	2889	2794	0
Pcp2	2140.500000	2118	761	2889	2794	0
Mark2	2138.000000	2734	788	2728	2302	0
Ulk4	2130.000000	2415	413	2863	2829	0
Utp23	2124.750000	2472	572	2977	2478	0
Stt3a	2121.500000	2519	474	3098	2395	0
Lman2	2102.750000	2736	854	2706	2115	0
Ppp1r10	2100.000000	3280	701	2829	1590	0
Mrps18b	2100.000000	3280	701	2829	1590	0
Dctn3	2081.250000	2739	526	3042	2018	0
Cdk7	2074.500000	2576	739	2805	2178	0
Tcp1	2069.000000	2513	418	3031	2314	0
Mrpl18	2069.000000	2513	418	3031	2314	0
Dpp3	2064.000000	2441	421	3065	2329	0
Ppp4r3b	2061.250000	2823	520	2959	1943	0
Zfp180	2060.500000	1882	679	2817	2864	0
Pde6a	2056.750000	2352	284	2939	2652	0
Zfp84	2055.000000	2275	610	2666	2669	0
Zmynd10	2051.750000	2285	799	2921	2202	0
Nprl2	2051.750000	2285	799	2921	2202	0
Cyb561d2	2051.750000	2285	799	2921	2202	0
Thg1l	2041.500000	2562	682	2975	1947	0
Zfp330	2037.750000	2844	555	2609	2143	0
Tln1	2035.000000	2407	626	2985	2122	0
Creb3	2035.000000	2407	626	2985	2122	0
Atp23	2031.750000	1963	515	2982	2667	0
Ino80c	2028.500000	2535	513	2969	2097	0
Vps4b	2024.000000	2486	458	2927	2225	0
Alyref2	2021.750000	2258	429	2812	2588	0
Pigm	2021.250000	2502	632	2822	2129	0
Arpc1b	2019.250000	1980	340	3186	2571	0
Nuf2	2019.000000	2330	431	2691	2624	0
Scnm1	2008.250000	2276	626	2679	2452	0
Lysmd1	2008.250000	2276	626	2679	2452	0
Trnt1	1999.500000	3245	788	2925	1040	0
Acyp1	1992.500000	2327	525	2694	2424	0
Bcl7b	1982.250000	2808	615	2834	1672	0
Nostrin	1976.500000	2300	294	3053	2259	0
Cybc1	1969.500000	2258	370	2817	2433	0
Commd6	1967.250000	2215	509	2883	2262	0
Rps14	1963.250000	2067	591	2954	2241	0
Hsd17b12	1957.000000	2262	434	3006	2126	0
Mospd3	1956.750000	2235	549	2670	2373	0
Kxd1	1954.250000	2358	533	2577	2349	0
Fkbp8	1954.250000	2358	533	2577	2349	0
Fbxo46	1954.000000	2130	748	2759	2179	0
Bhmg1	1954.000000	2130	748	2759	2179	0
Sf3b5	1952.750000	2528	584	2892	1807	0
Ptpn6	1952.500000	1905	395	2912	2598	0
Grcc10	1952.500000	1905	395	2912	2598	0
Wdr92	1951.000000	1749	406	3043	2606	0
Pno1	1951.000000	1749	406	3043	2606	0
Ift27	1949.250000	2019	253	3296	2229	0
Nip7	1944.250000	2237	679	2830	2031	0
Cog8	1944.250000	2237	679	2830	2031	0
Zc3h3	1936.000000	2320	452	2758	2214	0
Rps3	1935.000000	2327	586	2874	1953	0
Gins3	1931.000000	2562	351	2788	2023	0
Wbp1l	1930.250000	2410	771	2678	1862	0
Zfp408	1920.500000	2198	520	2567	2397	0
Arhgap1	1920.500000	2198	520	2567	2397	0
Trmt44	1920.250000	2772	907	2414	1588	0
Akirin2	1920.000000	2288	709	2938	1745	0
Sarnp	1919.500000	2239	277	3003	2159	0
Ormdl2	1919.500000	2239	277	3003	2159	0
Prkci	1919.250000	2187	301	2802	2387	0
Ric8a	1912.250000	2110	467	2578	2494	0
Pcx	1912.250000	2342	523	2821	1963	0
Bet1l	1912.250000	2110	467	2578	2494	0
D8Ertd738e	1896.750000	2190	540	2500	2357	0
Gtf2f1	1895.000000	1685	493	2716	2686	0
Zfp458	1893.750000	1980	561	2776	2258	0
Vcpip1	1888.500000	1932	513	2700	2409	0
Selenos	1883.250000	2494	442	2675	1922	0
Fam174c	1883.000000	2145	393	2797	2197	0
Spink10	1881.250000	2327	576	2584	2038	0
Prepl	1881.250000	2352	297	2589	2287	0
Fbxo38	1881.250000	2327	576	2584	2038	0
Camkmt	1881.250000	2352	297	2589	2287	0
Zfp120	1877.750000	2198	396	2801	2116	0
Gpatch2l	1876.250000	2658	860	2594	1393	0
Txndc9	1868.250000	2030	553	2685	2205	0
Eif5b	1868.250000	2030	553	2685	2205	0
Ddx24	1868.000000	2770	825	2469	1408	0
Sec24c	1866.500000	2423	524	2538	1981	0
Tmem189	1861.250000	2290	461	2799	1895	0
Cd2bp2	1853.000000	1696	563	2572	2581	0
Maats1	1850.500000	2330	576	2720	1776	0
Cox17	1850.500000	2330	576	2720	1776	0
Fnbp4	1844.750000	2197	277	2770	2135	0
Stk16	1843.750000	2262	542	2420	2151	0
Glb1l	1843.750000	2262	542	2420	2151	0
Hspa14	1832.750000	2160	384	2856	1931	0
Cdnf	1832.750000	2160	384	2856	1931	0
Ccdc15	1832.500000	2323	431	2695	1881	0
Yipf1	1830.500000	2221	456	2737	1908	0
Fbh1	1827.750000	2180	480	2701	1950	0
Ankrd16	1827.750000	2180	480	2701	1950	0
L3hypdh	1827.000000	2261	617	2759	1671	0
Jkamp	1827.000000	2261	617	2759	1671	0
Poc5	1826.250000	2084	346	2755	2120	0
Trappc6a	1823.250000	2149	310	2698	2136	0
Bloc1s3	1823.250000	2149	310	2698	2136	0
Haus6	1821.750000	2018	524	2664	2081	0
Rnh1	1820.750000	2038	375	2687	2183	0
Ercc3	1819.750000	1899	316	2631	2433	0
Amn1	1815.750000	2272	575	2316	2100	0
Echdc1	1815.500000	2332	384	2429	2117	0
Rpl27	1809.750000	2110	533	2484	2112	0
Thap1	1805.500000	2262	438	2581	1941	0
Rbck1	1803.500000	3623	635	1877	1079	0
AI987944	1795.500000	1865	277	2833	2207	0
Ankhd1	1791.750000	2000	357	2608	2202	0
Asb1	1788.750000	2309	552	2605	1689	0
Zpr1	1784.000000	2890	615	2263	1368	0
Apoa5	1784.000000	2890	615	2263	1368	0
Zfp712	1777.500000	1943	371	2684	2112	0
Arhgap12	1777.500000	1798	329	2638	2345	0
Fis1	1777.250000	2070	387	2400	2252	0
Cwc25	1776.500000	2036	401	2438	2231	0
Elac2	1772.250000	2159	381	2679	1870	0
Slx1b	1770.500000	2576	479	2599	1428	0
Bola2	1770.500000	2576	479	2599	1428	0
Tyw1	1762.750000	1873	287	2754	2137	0
Sbds	1762.750000	1873	287	2754	2137	0
Fdxr	1759.000000	2088	576	2560	1812	0
Exoc1	1758.250000	2185	557	2515	1776	0
