Target_genes	Erf|Average	SRX2871267|ES_cells	SRX2871268|ES_cells	SRX2871269|ES_cells	SRX2871270|ES_cells	SRX2871271|ES_cells	SRX2871272|ES_cells	SRX209937|MEF	SRX209938|MEF	SRX2796981|Prostate_organoids	SRX2796982|Prostate_organoids	SRX2796983|Prostate_organoids	SRX2796984|Prostate_organoids	SRX2796985|Prostate_organoids	SRX2796986|Prostate_organoids	SRX2796987|Prostate_organoids	SRX2796988|Prostate_organoids	STRING
Tcstv3	1268.937500	1240	2039	1148	1159	1199	1196	2362	2186	1748	1092	678	891	777	693	820	1075	0
Cldn34d	1051.312500	967	2000	1041	965	986	936	2207	2631	971	482	604	737	347	623	795	529	0
Tmem107	703.312500	0	0	0	0	0	0	3232	3158	1878	1317	595	1073	0	0	0	0	0
Brox	656.500000	717	2048	811	719	653	663	1955	2097	248	172	0	115	0	147	159	0	0
Aida	656.500000	717	2048	811	719	653	663	1955	2097	248	172	0	115	0	147	159	0	0
Poldip3	597.562500	0	0	0	0	0	0	2505	1917	1941	1604	703	891	0	0	0	0	0
Naa35	562.500000	0	0	0	0	0	0	3709	3836	636	454	119	246	0	0	0	0	0
Mfsd8	558.562500	0	0	0	0	0	0	3743	3732	677	500	128	157	0	0	0	0	0
Ssbp1	556.375000	0	0	0	0	0	0	3636	3714	645	405	160	342	0	0	0	0	0
Rps7	548.937500	0	0	0	0	0	0	3650	3794	557	289	193	300	0	0	0	0	0
Rab33b	545.562500	0	0	0	0	0	0	3469	3664	612	388	225	371	0	0	0	0	0
Abhd18	545.000000	0	0	0	0	0	0	3565	3698	690	449	196	122	0	0	0	0	0
Tmco1	533.500000	0	0	0	0	0	0	3615	3682	505	266	223	245	0	0	0	0	0
Zbtb40	529.375000	0	0	0	0	0	0	3343	3585	583	396	283	280	0	0	0	0	0
Ddx20	528.062500	0	0	0	0	0	0	3262	3289	929	417	211	341	0	0	0	0	0
Nop14	519.500000	0	0	0	0	0	0	3603	3715	527	276	96	95	0	0	0	0	0
Grk4	519.500000	0	0	0	0	0	0	3603	3715	527	276	96	95	0	0	0	0	0
Gpbp1	511.000000	0	0	0	0	0	0	3672	3807	299	157	76	165	0	0	0	0	0
Ttc14	508.500000	0	0	0	0	0	0	3625	3729	342	177	137	126	0	0	0	0	0
Cct8	506.250000	0	0	0	0	0	0	3541	3726	277	218	154	184	0	0	0	0	0
Crebzf	504.250000	0	0	0	0	0	0	3617	3762	313	166	0	210	0	0	0	0	0
Wdr27	504.187500	0	0	0	0	0	0	3608	3768	355	244	0	92	0	0	0	0	0
1600012H06Rik	504.187500	0	0	0	0	0	0	3608	3768	355	244	0	92	0	0	0	0	0
Eif4a3	503.187500	0	0	0	0	0	0	3430	3612	525	302	0	182	0	0	0	0	0
Rnpc3	501.250000	0	0	0	0	0	0	3647	3836	240	210	87	0	0	0	0	0	0
Rraga	501.000000	0	0	0	0	0	0	3390	3551	459	224	97	295	0	0	0	0	0
Rpl26	500.312500	0	0	0	0	0	0	3459	3727	311	195	195	118	0	0	0	0	0
Tspyl1	499.875000	0	0	0	0	0	0	3651	3799	207	151	0	190	0	0	0	0	0
Zfp317	499.312500	0	0	0	0	0	937	3438	2963	326	227	0	98	0	0	0	0	0
