symbol	gene_id	transcript_id	length
CLCNKA	ENSG00000186510	ENST00000331433	2491
YIPF1	ENSG00000058799	ENST00000072644	1821
GFI1	ENSG00000162676	ENST00000427103	2719
GFI1	ENSG00000162676	ENST00000370332	2855
GFI1	ENSG00000162676	ENST00000294702	4554
CLIC4	ENSG00000169504	ENST00000374379	4253
SYT11	ENSG00000132718	ENST00000368324	5182
SLC39A1	ENSG00000143570	ENST00000356205	2038
SLC39A1	ENSG00000143570	ENST00000368621	2398
SLC39A1	ENSG00000143570	ENST00000368623	2723
SLC39A1	ENSG00000143570	ENST00000310483	2427
SLC39A1	ENSG00000143570	ENST00000621013	2322
SLC39A1	ENSG00000143570	ENST00000617697	2214
AMY1B	ENSG00000174876	ENST00000330330	1785
AMY1B	ENSG00000174876	ENST00000370080	1787
ARMH1	ENSG00000198520	ENST00000535358	1693
ARMH1	ENSG00000198520	ENST00000458657	1818
PLPP3	ENSG00000162407	ENST00000371250	3273
LCE6A	ENSG00000235942	ENST00000431011	640
SARS1	ENSG00000031698	ENST00000234677	1914
PTGFR	ENSG00000122420	ENST00000370757	5429
PTGFR	ENSG00000122420	ENST00000370758	4337
COA7	ENSG00000162377	ENST00000371538	3988
CD2	ENSG00000116824	ENST00000369478	1565
STRIP1	ENSG00000143093	ENST00000369795	3257
MRPS21	ENSG00000266472	ENST00000581066	1462
MRPS21	ENSG00000266472	ENST00000614145	1085
NEGR1	ENSG00000172260	ENST00000357731	12613
GLMN	ENSG00000174842	ENST00000370360	2006
NTRK1	ENSG00000198400	ENST00000524377	2669
LEPROT	ENSG00000213625	ENST00000371065	4541
ZNF691	ENSG00000164011	ENST00000372508	1577
ZNF691	ENSG00000164011	ENST00000372506	1859
ZNF691	ENSG00000164011	ENST00000372507	1683
LYPLAL1	ENSG00000143353	ENST00000366928	1857
PIGR	ENSG00000162896	ENST00000356495	4275
SLC45A3	ENSG00000158715	ENST00000367145	3391
NEK2	ENSG00000117650	ENST00000366999	2134
KHDRBS1	ENSG00000121774	ENST00000327300	2713
TSTD1	ENSG00000215845	ENST00000423014	567
MAD2L2	ENSG00000116670	ENST00000235310	1860
MAD2L2	ENSG00000116670	ENST00000376692	1053
MAD2L2	ENSG00000116670	ENST00000456915	1338
MAD2L2	ENSG00000116670	ENST00000376667	872
PATJ	ENSG00000132849	ENST00000642238	8621
AKR7A2	ENSG00000053371	ENST00000235835	1360
SLC6A17	ENSG00000197106	ENST00000331565	6419
SPRR5	ENSG00000283227	ENST00000636302	762
GJA4	ENSG00000187513	ENST00000342280	1621
CAMK2N1	ENSG00000162545	ENST00000375078	2326
CFHR3	ENSG00000116785	ENST00000367425	2934
GIPC2	ENSG00000137960	ENST00000370759	3778
CNIH4	ENSG00000143771	ENST00000465271	4096
HEYL	ENSG00000163909	ENST00000372852	4077
HEATR1	ENSG00000119285	ENST00000366582	8459
DLGAP3	ENSG00000116544	ENST00000373347	3921
DLGAP3	ENSG00000116544	ENST00000235180	3587
GARIN4	ENSG00000162771	ENST00000294829	2302
A3GALT2	ENSG00000184389	ENST00000442999	1023
PRPF38B	ENSG00000134186	ENST00000370025	4831
CACYBP	ENSG00000116161	ENST00000367679	2869
LCE1B	ENSG00000196734	ENST00000360090	1138
PHACTR4	ENSG00000204138	ENST00000373839	6048
ACAP3	ENSG00000131584	ENST00000354700	3793
ESPN	ENSG00000187017	ENST00000645284	3543
ZBTB18	ENSG00000179456	ENST00000358704	3851
ARTN	ENSG00000117407	ENST00000372354	1003
ARTN	ENSG00000117407	ENST00000372359	1439
LMOD1	ENSG00000163431	ENST00000367288	3927
MUL1	ENSG00000090432	ENST00000264198	2428
ILF2	ENSG00000143621	ENST00000361891	1852
COG2	ENSG00000135775	ENST00000366669	2932
MYOG	ENSG00000122180	ENST00000241651	1507
GGPS1	ENSG00000152904	ENST00000358966	2740
GGPS1	ENSG00000152904	ENST00000488594	1396
GGPS1	ENSG00000152904	ENST00000282841	2895
CEPT1	ENSG00000134255	ENST00000357172	2203
CEPT1	ENSG00000134255	ENST00000545121	2251
RPTN	ENSG00000215853	ENST00000316073	3569
DMAP1	ENSG00000178028	ENST00000361745	1545
DMAP1	ENSG00000178028	ENST00000315913	1552
DMAP1	ENSG00000178028	ENST00000372289	1742
NEXN	ENSG00000162614	ENST00000334785	3282
GPR25	ENSG00000170128	ENST00000304244	1198
ENSG00000258465	ENSG00000258465	ENST00000485079	914
NHLH1	ENSG00000171786	ENST00000302101	2557
PHF13	ENSG00000116273	ENST00000377648	3632
CCDC190	ENSG00000185860	ENST00000367910	1498
CCDC190	ENSG00000185860	ENST00000367911	1395
PIGK	ENSG00000142892	ENST00000370812	4601
KCNJ9	ENSG00000162728	ENST00000368088	4202
CLCNKB	ENSG00000184908	ENST00000375679	2562
CLCNKB	ENSG00000184908	ENST00000682338	2869
CLCNKB	ENSG00000184908	ENST00000684545	2592
CLCNKB	ENSG00000184908	ENST00000682793	3121
CLCNKB	ENSG00000184908	ENST00000684324	3331
HPCA	ENSG00000121905	ENST00000373467	1412
GALNT2	ENSG00000143641	ENST00000366672	4423
SOX13	ENSG00000143842	ENST00000367204	4076
SOX13	ENSG00000143842	ENST00000618875	3476
LRIG2	ENSG00000198799	ENST00000361127	11566
LRRN2	ENSG00000170382	ENST00000367176	3211
LRRN2	ENSG00000170382	ENST00000367175	5036
LRRN2	ENSG00000170382	ENST00000367177	3468
GPR153	ENSG00000158292	ENST00000377893	4198
CD5L	ENSG00000073754	ENST00000368174	2204
NAXE	ENSG00000163382	ENST00000681054	1137
NAXE	ENSG00000163382	ENST00000680004	1489
NAXE	ENSG00000163382	ENST00000679702	1510
NAXE	ENSG00000163382	ENST00000368235	1111
NAXE	ENSG00000163382	ENST00000680269	1874
ZNF695	ENSG00000197472	ENST00000339986	3341
LHX8	ENSG00000162624	ENST00000356261	2258
CAPZA1	ENSG00000116489	ENST00000263168	2358
ANGEL2	ENSG00000174606	ENST00000366962	4690
CIMAP3	ENSG00000173947	ENST00000369738	2293
C1orf43	ENSG00000143612	ENST00000368521	1678
IPO13	ENSG00000117408	ENST00000372343	3883
DPT	ENSG00000143196	ENST00000367817	1719
ARHGAP30	ENSG00000186517	ENST00000368013	4342
ZBTB17	ENSG00000116809	ENST00000375743	2720
TMCO1	ENSG00000143183	ENST00000367881	1912
SERINC2	ENSG00000168528	ENST00000373709	1900
TMEM234	ENSG00000160055	ENST00000309777	1107
SNX27	ENSG00000143376	ENST00000458013	6441
ENSG00000284989	ENSG00000284989	ENST00000645057	4037
XCL1	ENSG00000143184	ENST00000367818	1227
GON4L	ENSG00000116580	ENST00000271883	7138
GON4L	ENSG00000116580	ENST00000437809	7713
ASAP3	ENSG00000088280	ENST00000336689	4051
PLK3	ENSG00000173846	ENST00000372201	2340
ZNF684	ENSG00000117010	ENST00000648542	2102
ZNF684	ENSG00000117010	ENST00000372699	2019
MIA3	ENSG00000154305	ENST00000344922	8126
TSNAX	ENSG00000116918	ENST00000366639	2634
C8B	ENSG00000021852	ENST00000696164	2230
C8B	ENSG00000021852	ENST00000371237	2040
VHLL	ENSG00000189030	ENST00000339922	684
UBE2Q1	ENSG00000160714	ENST00000292211	3239
TARBP1	ENSG00000059588	ENST00000040877	5206
IL23R	ENSG00000162594	ENST00000347310	2858
ELF3	ENSG00000163435	ENST00000367284	3104
ELF3	ENSG00000163435	ENST00000359651	4994
ELF3	ENSG00000163435	ENST00000367283	2044
CR2	ENSG00000117322	ENST00000367057	4139
CFAP74	ENSG00000142609	ENST00000682832	5355
TRMT1L	ENSG00000121486	ENST00000367506	4361
PBX1	ENSG00000185630	ENST00000420696	7087
PTP4A2	ENSG00000184007	ENST00000647444	3910
PTP4A2	ENSG00000184007	ENST00000649841	2213
PTP4A2	ENSG00000184007	ENST00000602725	3353
REG4	ENSG00000134193	ENST00000354219	1517
REG4	ENSG00000134193	ENST00000256585	1224
AKNAD1	ENSG00000162641	ENST00000370001	3050
LAMTOR2	ENSG00000116586	ENST00000368305	621
FRRS1	ENSG00000156869	ENST00000646001	6971
CD244	ENSG00000122223	ENST00000368034	2495
ZBTB8OS	ENSG00000176261	ENST00000468695	1567
STMN1	ENSG00000117632	ENST00000357865	1137
STMN1	ENSG00000117632	ENST00000399728	1712
STMN1	ENSG00000117632	ENST00000374291	867
STMN1	ENSG00000117632	ENST00000455785	1443
WRAP73	ENSG00000116213	ENST00000270708	1692
ZMYM4	ENSG00000146463	ENST00000314607	7366
ENSG00000288678	ENSG00000288678	ENST00000710329	120
ELK4	ENSG00000158711	ENST00000357992	10288
SKI	ENSG00000157933	ENST00000378536	6083
NOTCH2NLB	ENSG00000286019	ENST00000593495	7830
SPRR2G	ENSG00000159516	ENST00000368748	589
TARDBP	ENSG00000120948	ENST00000240185	4185
TARDBP	ENSG00000120948	ENST00000639083	2269
ARV1	ENSG00000173409	ENST00000310256	1428
AIDA	ENSG00000186063	ENST00000340020	2975
AGL	ENSG00000162688	ENST00000370163	7166
AGL	ENSG00000162688	ENST00000294724	7446
AGL	ENSG00000162688	ENST00000370165	7106
AGL	ENSG00000162688	ENST00000361915	7091
LIX1L	ENSG00000271601	ENST00000604000	3991
WNT9A	ENSG00000143816	ENST00000272164	4005
SVBP	ENSG00000177868	ENST00000372522	650
SVBP	ENSG00000177868	ENST00000372521	807
PRAMEF5	ENSG00000270601	ENST00000622421	1855
GJB4	ENSG00000189433	ENST00000339480	1444
RAB13	ENSG00000143545	ENST00000368575	1164
SASS6	ENSG00000156876	ENST00000287482	3848
SLC44A3	ENSG00000143036	ENST00000271227	2381
FAM72C	ENSG00000263513	ENST00000584486	2395
ENSG00000255835	ENSG00000255835	ENST00000432920	1625
OMA1	ENSG00000162600	ENST00000371226	1861
CD1A	ENSG00000158477	ENST00000289429	1809
IFT25	ENSG00000081870	ENST00000194214	685
RAB25	ENSG00000132698	ENST00000361084	1100
RGS13	ENSG00000127074	ENST00000543215	1518
RGS13	ENSG00000127074	ENST00000391995	1554
TNN	ENSG00000120332	ENST00000239462	5042
KISS1	ENSG00000170498	ENST00000367194	714
ISG15	ENSG00000187608	ENST00000649529	637
EPHA8	ENSG00000070886	ENST00000166244	5019
SPTA1	ENSG00000163554	ENST00000643759	8018
SNAPIN	ENSG00000143553	ENST00000368685	1003
EFCAB14	ENSG00000159658	ENST00000371933	5817
KIAA0319L	ENSG00000142687	ENST00000426982	3284
KIAA0319L	ENSG00000142687	ENST00000469892	4021
KIAA0319L	ENSG00000142687	ENST00000325722	4777
SLC25A44	ENSG00000160785	ENST00000359511	3467
ELAPOR1	ENSG00000116299	ENST00000369939	6880
FAAH	ENSG00000117480	ENST00000243167	2042
ABCB10	ENSG00000135776	ENST00000344517	3869
SH2D2A	ENSG00000027869	ENST00000368199	1644
FIRRM	ENSG00000000460	ENST00000286031	4355
FIRRM	ENSG00000000460	ENST00000359326	4011
SLC16A1	ENSG00000155380	ENST00000369626	3753
UTS2	ENSG00000049247	ENST00000361696	591
ENSG00000289700	ENSG00000289700	ENST00000696133	5789
NR0B2	ENSG00000131910	ENST00000254227	1165
FCGR2B	ENSG00000072694	ENST00000358671	2133
ELOA	ENSG00000011007	ENST00000613537	4838
ZYG11A	ENSG00000203995	ENST00000371528	4445
LGALS8	ENSG00000116977	ENST00000526634	1852
LGALS8	ENSG00000116977	ENST00000341872	2437
LGALS8	ENSG00000116977	ENST00000366584	5957
CLDN19	ENSG00000164007	ENST00000372539	1586
ZRANB2	ENSG00000132485	ENST00000254821	2821
ZRANB2	ENSG00000132485	ENST00000611683	1257
C1orf185	ENSG00000204006	ENST00000371759	921
PPFIA4	ENSG00000143847	ENST00000295706	6508
CDC42SE1	ENSG00000197622	ENST00000540998	3181
CDC42SE1	ENSG00000197622	ENST00000357235	3006
CDC42SE1	ENSG00000197622	ENST00000439374	3498
C1orf210	ENSG00000253313	ENST00000423420	629
C1orf210	ENSG00000253313	ENST00000523677	1486
TAF12	ENSG00000120656	ENST00000373824	1335
TAF12	ENSG00000120656	ENST00000263974	1359
TAF12	ENSG00000120656	ENST00000685312	1100
TAF12	ENSG00000120656	ENST00000689843	1099
OR2T29	ENSG00000182783	ENST00000641069	2637
OR2T29	ENSG00000182783	ENST00000328570	1034
CALML6	ENSG00000169885	ENST00000307786	670
C1orf141	ENSG00000203963	ENST00000371007	2153
C1orf141	ENSG00000203963	ENST00000684719	2187
C1orf141	ENSG00000203963	ENST00000371006	2053
HTR6	ENSG00000158748	ENST00000289753	3800
TMEM167B	ENSG00000215717	ENST00000338272	2769
KLHL17	ENSG00000187961	ENST00000338591	2567
PAPPA2	ENSG00000116183	ENST00000367662	9683
CITED4	ENSG00000179862	ENST00000372638	1310
ABCD3	ENSG00000117528	ENST00000370214	3604
NASP	ENSG00000132780	ENST00000351223	1538
RXFP4	ENSG00000173080	ENST00000368318	1450
NMNAT2	ENSG00000157064	ENST00000287713	5441
LYST	ENSG00000143669	ENST00000389793	13466
DENND4B	ENSG00000198837	ENST00000361217	5728
VPS72	ENSG00000163159	ENST00000368892	1511
HSD3B2	ENSG00000203859	ENST00000369416	1675
HSD3B2	ENSG00000203859	ENST00000543831	1783
RNASEL	ENSG00000135828	ENST00000367559	4238
AK5	ENSG00000154027	ENST00000354567	3280
TNFRSF4	ENSG00000186827	ENST00000379236	1075
HYI	ENSG00000178922	ENST00000372430	1221
ATP2B4	ENSG00000058668	ENST00000341360	8875
NTNG1	ENSG00000162631	ENST00000370068	6330
NTNG1	ENSG00000162631	ENST00000370073	3347
PEF1	ENSG00000162517	ENST00000373703	1614
MAP3K21	ENSG00000143674	ENST00000366624	5853
SLC30A1	ENSG00000170385	ENST00000367001	5893
CDC42	ENSG00000070831	ENST00000695798	2824
CDC42	ENSG00000070831	ENST00000695802	2635
CDC42	ENSG00000070831	ENST00000695799	3962
CDC42	ENSG00000070831	ENST00000400259	2274
CDC42	ENSG00000070831	ENST00000656825	10503
CDC42	ENSG00000070831	ENST00000662562	2986
CDC42	ENSG00000070831	ENST00000344548	2297
CDC42	ENSG00000070831	ENST00000695800	3797
CDC42	ENSG00000070831	ENST00000695797	2577
CDC42	ENSG00000070831	ENST00000411827	2825
CDC42	ENSG00000070831	ENST00000695796	3134
