ensembl_gene_id	external_gene_name	ensembl_transcript_id	transcript_biotype	transcript_length	transcript_is_canonical	is_canonical
ENSG00000210049	MT-TF	ENST00000387314	Mt_tRNA	71	1	True
ENSG00000211459	MT-RNR1	ENST00000389680	Mt_rRNA	954	1	True
ENSG00000210077	MT-TV	ENST00000387342	Mt_tRNA	69	1	True
ENSG00000210082	MT-RNR2	ENST00000387347	Mt_rRNA	1559	1	True
ENSG00000209082	MT-TL1	ENST00000386347	Mt_tRNA	75	1	True
ENSG00000198888	MT-ND1	ENST00000361390	protein_coding	956	1	True
ENSG00000210100	MT-TI	ENST00000387365	Mt_tRNA	69	1	True
ENSG00000210107	MT-TQ	ENST00000387372	Mt_tRNA	72	1	True
ENSG00000210112	MT-TM	ENST00000387377	Mt_tRNA	68	1	True
ENSG00000198763	MT-ND2	ENST00000361453	protein_coding	1042	1	True
ENSG00000210117	MT-TW	ENST00000387382	Mt_tRNA	68	1	True
ENSG00000210127	MT-TA	ENST00000387392	Mt_tRNA	69	1	True
ENSG00000210135	MT-TN	ENST00000387400	Mt_tRNA	73	1	True
ENSG00000210140	MT-TC	ENST00000387405	Mt_tRNA	66	1	True
ENSG00000210144	MT-TY	ENST00000387409	Mt_tRNA	66	1	True
ENSG00000198804	MT-CO1	ENST00000361624	protein_coding	1542	1	True
ENSG00000210151	MT-TS1	ENST00000387416	Mt_tRNA	69	1	True
ENSG00000210154	MT-TD	ENST00000387419	Mt_tRNA	68	1	True
ENSG00000198712	MT-CO2	ENST00000361739	protein_coding	684	1	True
ENSG00000210156	MT-TK	ENST00000387421	Mt_tRNA	70	1	True
ENSG00000228253	MT-ATP8	ENST00000361851	protein_coding	207	1	True
ENSG00000198899	MT-ATP6	ENST00000361899	protein_coding	681	1	True
ENSG00000198938	MT-CO3	ENST00000362079	protein_coding	784	1	True
ENSG00000210164	MT-TG	ENST00000387429	Mt_tRNA	68	1	True
ENSG00000198840	MT-ND3	ENST00000361227	protein_coding	346	1	True
ENSG00000210174	MT-TR	ENST00000387439	Mt_tRNA	65	1	True
ENSG00000212907	MT-ND4L	ENST00000361335	protein_coding	297	1	True
ENSG00000198886	MT-ND4	ENST00000361381	protein_coding	1378	1	True
ENSG00000210176	MT-TH	ENST00000387441	Mt_tRNA	69	1	True
ENSG00000210184	MT-TS2	ENST00000387449	Mt_tRNA	59	1	True
ENSG00000210191	MT-TL2	ENST00000387456	Mt_tRNA	71	1	True
ENSG00000198786	MT-ND5	ENST00000361567	protein_coding	1812	1	True
ENSG00000198695	MT-ND6	ENST00000361681	protein_coding	525	1	True
ENSG00000210194	MT-TE	ENST00000387459	Mt_tRNA	69	1	True
